genre
british singer-songwriter
bury st edmunds indie
lancashire indie
newcastle indie
derby indie
uk post-hardcore
britpop
british soul
scottish indie
east anglia indie
leeds indie
essex indie
british alternative rock
edinburgh indie
liverpool indie
scottish indie rock
uk contemporary r&b
traditional english folk
london indie
uk alternative pop
scottish electronic
southampton indie
oxford indie
uk stoner rock
northamptonshire indie
scottish indie folk
brighton indie
cornwall indie
london rap
isle of wight indie
birmingham hip hop
british blues
british orchestra
dundee indie
manchester hip hop
sheffield indie
madchester
manchester indie
english indie rock
swansea indie
uk metalcore
cardiff indie
uk alternative hip hop
leicester indie
welsh indie
uk post-punk revival
british post-rock
birmingham indie
uk americana
glasgow indie
york indie
yorkshire folk
uk pop
scottish rock
hull indie
british comedy
british country
nottingham indie
cymraeg
traditional british folk
north east england indie
welsh hip hop
british indie rock
traditional scottish folk
uk dance
reading indie
uk pop punk
grime
portsmouth indie
scottish metal
uk noise rock
warrington indie
belfast indie
uk tech house
scouse rap
medway sound
cambridge choir
britpop revival
british black metal
cambridgeshire indie
uk drill
welsh rock
uk christian rap
bristol indie
british invasion
nottingham hip hop
uk melodic rap
scottish folk
uk worship
uk house
scottish drill
uk post-punk
bath indie
afroswing
uk dancehall
british folk
uk hip hop
welsh choir
welsh folk
uk dnb
west yorkshire indie
bristol electronic
coventry indie
kent indie
devon indie
scottish hip hop
british classical piano
grebo
british jazz
scottish americana
scottish singer-songwriter
isle of man indie
sophisti-pop
uk post-metal
instrumental grime
birmingham metal
uk doom metal
channel islands indie
scottish techno
cornish folk
british children's music
british soundtrack
british industrial
british math rock
chill drill
british experimental
jungle
british death metal
british grindcore
birmingham grime
uk diy punk
uk reggae
british power metal
edinburgh metal
scottish gaelic folk
cathedral choir
dub punk
west end
uk beatdown
british choir
oxford choir
scottish jazz
solo wave
british contemporary classical
melodic drill
uk garage
ukhc
scottish new wave
uk experimental electronic
aberdeen indie
brit funk
uk rockabilly
british modern classical
skiffle
english renaissance
old school uk hip hop
northern irish indie
orkney and shetland folk
northern irish punk
derry indie
nwobhm
anglican liturgy
bagpipe marching band
english baroque
gospel drill
uk82
ukg revival
neo-singer-songwriter
belfast metal
welsh metal
jump up
new wave
bothy ballad
scottish fiddle
bassline
northumbrian folk
big beat
new romantic
puirt-a-beul
classic uk pop
uk funky
drum and bass
british electroacoustic
uk bass
hard house
merseybeat
british dance band
victorian britain
indie anthem-folk
synthpop
classic dubstep
classic bhangra
future garage
chamber psych
c86
deep groove house
deep neofolk
canterbury scene
euro hi-nrg
military band
uk contemporary jazz
bagpipe
football
art rock
pub rock
music hall
bleep techno
hauntology
staff band
uk dub
talent show
weightless
new wave pop
hard dance
reading
speed garage
breakbeat
glam rock
anarcho-punk
minimal dnb
atmospheric dnb
nwocr
men's choir
nu skool breaks
scottish smallpipe
trip hop
purple sound
bouncy house
psychedelic folk
ninja
progressive rock
drumfunk
british brass band
bhangra
bass house
piano house
mod revival
breaks
dance rock
braindance
dub metal
house
pibroch
ceilidh
deep dnb
rock keyboard
drill beats
classic progressive house
hardcore breaks
musical advocacy
symphonic rock
rave
liquid funk
modern mod
acid jazz
post-punk
deep punk rock
deep gothic post-punk
gothic rock
minimal dubstep
deep melodic hard rock
oi
math pop
choral
rock of gibraltar
experimental dub
deep orgcore
light music
deep new wave
new rave
freakbeat
electronica
jazzy dnb
deep happy hardcore
gypsy fusion
deep dubstep
indie jazz
neo grime
broken beat
deep liquid bass
hardcore techno
intelligent dance music
zolo
fidget house
ragga jungle
substep
gauze pop
folktronica
dancefloor dnb
acid idm
ambient house
deep liquid
experimental folk
album rock
library music
cinematic dubstep
modern ska punk
operatic pop
classic rock
jazz rock
beatlesque
downtempo
indie soul
theme
boy band
nursery
chillstep
deep indie rock
neo-progressive
permanent wave
psychedelic rock
modern alternative rock
rock
dream pop
halftime dnb
girl group
twee pop
dance-punk
dub reggae
boy soprano
grimewave
irish contemporary classical
shiver pop
melancholia
deep idm
experimental
vocal trance
early synthpop
spytrack
christian afrobeat
ska revival
freeform hardcore
corrosion
deep disco house
police band
alternative dance
fluxwork
hypnosis
modern rock
shoegaze
flute rock
tech trance
italo house
neo-trad prog
rock drums
indie fuzzpop
ambient trance
slam poetry
folk rock
nopixel
psychedelic blues-rock
deep space rock
diva house
industrial
protopunk
deep northern soul
acid house
concertina
celtic
modern hard rock
smooth soul
filthstep
afro-funk
experimental house
soulful house
dub poetry
historically informed performance
ambient industrial
disco house
mellow gold
deep chill-out
early music choir
proto-hyperpop
vintage reggae
proto-techno
europop
acoustic cover
blues rock
bubblegum pop
soft rock
wonky
fan chant
world fusion
nu jazz
hi-nrg
mandible
neurofunk
vapor pop
celtic rock
tape club
trance
drill and bass
ai
lo-fi house
baroque pop
irish rebel song
psybreaks
float house
uplifting trance
poetry
rock-and-roll
classical organ
crust punk
irish singer-songwriter
